"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"fronsbadet.no","fronsbadet.no","http://fronsbadet.no","","Sør-Fron Kommune","Oppland","No","dotgov","No","No","No","","","","","","No"
"fropp.no","fropp.no","http://fropp.no","","Fræna Kommune","Møre og Romsdal","No","dotgov","No","No","No","","","","","","No"
"frosta.kommune.no","frosta.kommune.no","https://www.frosta.kommune.no","","","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"frostahallen.no","frostahallen.no","http://www.frostahallen.no","","Frosta Kommune","Nord-Trøndelag","Yes","dotgov","No","No","No","","","","","","No"
"frostalegekontor.no","frostalegekontor.no","http://www.frostalegekontor.no","","Frosta Kommune","Nord-Trøndelag","No","dotgov","No","No","No","","","","","","No"
"frostating.no","frostating.no","http://www.frostating.no","","Domstolene I Norge","","No","dotgov","No","No","No","","","","","","No"
"froya-kulturskole.no","froya-kulturskole.no","http://froya-kulturskole.no","","Frøya Kommune","Sør-Trøndelag","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"froya.kommune.no","froya.kommune.no","https://www.froya.kommune.no","","","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"froyakulturskole.no","froyakulturskole.no","http://froyakulturskole.no","","Frøya Kommune","Sør-Trøndelag","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"froyalegekontor.no","froyalegekontor.no","http://froyalegekontor.no","","Frøya Kommune","Sør-Trøndelag","No","dotgov","No","No","No","","","","","","No"
"froyland-gardsbarnehage.no","froyland-gardsbarnehage.no","http://froyland-gardsbarnehage.no","","Sokndal Kommune","Rogaland","No","dotgov","No","No","No","","","","","","No"
"froyslandbarnehage.no","froyslandbarnehage.no","http://froyslandbarnehage.no","","Mandal Kommune","Vest-Agder","No","dotgov","No","No","No","","","","","","No"
"froyslandskole.no","froyslandskole.no","http://froyslandskole.no","","Mandal Kommune","Vest-Agder","No","dotgov","No","No","No","","","","","","No"
